サンプル : 146,  cos類似度 : 0.958002038350148
サンプル : 210,  cos類似度 : 0.9568384809191195
サンプル : 188,  cos類似度 : 0.9561715023630715
サンプル : 13,  cos類似度 : 0.9551302691514069
サンプル : 110,  cos類似度 : 0.9545634366922454
サンプル : 4,  cos類似度 : 0.9520160627402974
サンプル : 208,  cos類似度 : 0.9515934608751235
サンプル : 73,  cos類似度 : 0.9510817241602507
サンプル : 226,  cos類似度 : 0.9509188554961991
サンプル : 8,  cos類似度 : 0.9508512656359422
