サンプル : 147,  cos類似度 : 0.9579060424059775
サンプル : 211,  cos類似度 : 0.9561846078175085
サンプル : 171,  cos類似度 : 0.9519528162047458
サンプル : 111,  cos類似度 : 0.9511170786104002
サンプル : 175,  cos類似度 : 0.9451017605445854
サンプル : 7,  cos類似度 : 0.9395219103489901
サンプル : 77,  cos類似度 : 0.9393046535531243
サンプル : 159,  cos類似度 : 0.9391314244507414
サンプル : 227,  cos類似度 : 0.938854311634854
サンプル : 255,  cos類似度 : 0.9381644138555864
