サンプル : 146,  cos類似度 : 0.9558296603783717
サンプル : 210,  cos類似度 : 0.9544042334284762
サンプル : 110,  cos類似度 : 0.9539882073484579
サンプル : 158,  cos類似度 : 0.9534374806378901
サンプル : 170,  cos類似度 : 0.95138963459829
サンプル : 150,  cos類似度 : 0.949278733605401
サンプル : 74,  cos類似度 : 0.9465197553950188
サンプル : 226,  cos類似度 : 0.9432851026996275
サンプル : 186,  cos類似度 : 0.9410362585054781
サンプル : 14,  cos類似度 : 0.9397546469644861
