サンプル : 111,  cos類似度 : 0.9559483637558752
サンプル : 189,  cos類似度 : 0.9550829784197488
サンプル : 147,  cos類似度 : 0.9542014278816013
サンプル : 211,  cos類似度 : 0.9541084272903754
サンプル : 209,  cos類似度 : 0.9529064094910314
サンプル : 171,  cos類似度 : 0.9523810919400929
サンプル : 5,  cos類似度 : 0.9514253145854835
サンプル : 159,  cos類似度 : 0.9505641670961255
サンプル : 9,  cos類似度 : 0.9504673764648469
サンプル : 275,  cos類似度 : 0.9498437114466017
