サンプル : 210,  cos類似度 : 0.9575552252324142
サンプル : 77,  cos類似度 : 0.9571043895007657
サンプル : 110,  cos類似度 : 0.9544914962485075
サンプル : 188,  cos類似度 : 0.9543813065126715
サンプル : 158,  cos類似度 : 0.9539200191609334
サンプル : 146,  cos類似度 : 0.9520579198909842
サンプル : 170,  cos類似度 : 0.9512364054691539
サンプル : 8,  cos類似度 : 0.9500193543536137
サンプル : 71,  cos類似度 : 0.9474161290017746
サンプル : 74,  cos類似度 : 0.9460950139399928
